Player,Year,Team,Region,reg_avg,reg_n,intl_avg,intl_n
MrFaliN,2024,FUT Esports,EMEA,6.6,15,4.7272727272727275,11
MrFalin,2025,FUT Esports,EMEA,5.615384615384615,13,5.25,4
Munchkin,2024,Gen.G,PAC,7.833333333333333,18,7.238095238095238,21
Munchkin,2025,Gen.G,PAC,8.0,15,8.9,10
Munchkin,2026,T1,PAC,5.75,8,7.666666666666667,9
N4RRATE,2024,Karmine Corp,EMEA,6.846153846153846,13,11.0,10
N4RRATE,2025,Sentinels,AMER,9.411764705882353,17,7.642857142857143,14
N4RRATE,2026,Sentinels,AMER,3.4,5,5.5,4
NDG,2024,Team Secret,PAC,5.714285714285714,7,5.4,5
NINJA,2026,PCIFIC Esports,EMEA,4.6,5,5.0,3
Nats,2025,Team Liquid,EMEA,11.529411764705882,17,8.235294117647058,17
NaturE,2024,Evil Geniuses,AMER,4.1,10,3.5,2
NaturE,2025,Evil Geniuses,AMER,5.642857142857143,14,5.333333333333333,3
NcSlasher,2025,BOOM Esports,?,5.25,12,3.5,2
NeT,2025,Cloud9,AMER,6.25,16,5.333333333333333,3
Neon,2026,LEVIATÁN,AMER,12.333333333333334,9,7.666666666666667,3
Nephh,2025,Bilibili Gaming,CN,9.333333333333334,9,4.8,5
Nephh,2026,Bilibili Gaming,CN,9.2,5,9.142857142857142,7
Nicc,2025,Dragon Ranger Gaming,CN,7.555555555555555,9,5.0,2
Nicc,2026,Dragon Ranger Gaming,CN,6.2727272727272725,11,5.8,5
NoMan,2025,Xi Lai Gaming,CN,6.875,8,7.0,3
NoMan,2026,Xi Lai Gaming,CN,7.0,11,8.666666666666666,6
Nobody,2025,Edward Gaming,CN,7.8,10,7.0,7
OXY,2024,Cloud9,AMER,9.5,12,6.333333333333333,3
OXY,2025,Cloud9,AMER,10.1875,16,8.333333333333334,3
OXY,2026,Cloud9,AMER,8.2,5,8.6,5
Okeanos,2026,Evil Geniuses,AMER,4.0,4,6.2,5
P0PPIN,2026,ENVY,AMER,5.0,5,5.0,5
PROFEK,2025,BBL Esports,EMEA,8.944444444444445,18,8.5,4
PROFEK,2026,Team Vitality,EMEA,7.555555555555555,9,6.666666666666667,6
PaTiTek,2025,Team Liquid,EMEA,7.647058823529412,17,5.705882352941177,17
Papi,2025,Global Esports,PAC,3.7,10,7.0,3
Patmen,2025,Paper Rex,PAC,8.333333333333334,15,7.153846153846154,13
Patmen,2026,Global Esports,PAC,8.11111111111111,9,12.0,6
Penny,2026,Cloud9,AMER,5.666666666666667,3,7.428571428571429,7
Persia,2025,Nongshim RedForce,PAC,7.214285714285714,14,10.0,5
Polvi,2024,Global Esports,PAC,5.9,10,3.6666666666666665,3
Primmie,2025,TALON,?,9.411764705882353,17,9.0,4
Primmie,2026,FULL SENSE,PAC,11.444444444444445,9,11.4,5
Purp0,2025,GIANTX,EMEA,4.0,4,8.333333333333334,3
QutionerX,2024,BBL Esports,EMEA,6.9,10,4.5,2
Rarga,2025,Xi Lai Gaming,CN,8.625,8,5.2,5
Rarga,2026,Xi Lai Gaming,CN,8.636363636363637,11,10.5,6
Rb,2026,Nongshim RedForce,PAC,5.5,6,9.75,8
Redgar,2024,GIANTX,EMEA,4.125,8,3.5,2
Reduxx,2026,Sentinels,AMER,9.0,5,6.25,4
RgLMeister,2024,MIBR,AMER,1.2,5,6.6,5
RieNs,2024,Team Heretics,EMEA,7.588235294117647,17,8.695652173913043,23
RieNs,2026,Team Heretics,EMEA,10.636363636363637,11,6.166666666666667,6
