,,Stage,Wk,Game,Pts,T.Pts,P.Pts,PPM,Adj.VP,P?,0k,5k,10k,15k,20k,25k,30k,35k,40k,45k,50k,4ks,5ks,TOP3,TOP2,TOP1,1.5R2,1.75R2,2.0R2,PR Avg.,W/L,Game Start VP,Game End VP
100 Thieves,Boostio,Kickoff,,G16,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Boostio,Kickoff,,G17,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Boostio,Kickoff,,G18,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Boostio,Kickoff,,G19,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Boostio,Stage 1,,G1,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Boostio,Stage 1,,G2,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Boostio,Stage 1,,G3,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Boostio,Stage 1,,G4,0,0,0,0.0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Boostio,Stage 1,,G5,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Boostio,Stage 1,,G6,4,3,1,2.0,,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,W,,
100 Thieves,Boostio,Stage 1,,G7,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Boostio,Stage 1,,G8,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Boostio,Stage 1,,G9,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Boostio,Stage 1,,G10,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Boostio,Stage 1,,G11,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Boostio,Stage 1,,G12,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Boostio,Stage 1,,G13,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Boostio,Stage 1,,G14,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Boostio,Stage 1,,G15,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Boostio,Stage 1,,G16,6,4,2,3.0,,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,W,,
100 Thieves,Boostio,Stage 1,,G17,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Boostio,Stage 1,,G18,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Boostio,Stage 1,,G19,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Boostio,Stage 1,,G20,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Boostio,Stage 1,,G21,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Boostio,Stage 1,,G22,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Boostio,Stage 1,,G23,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Boostio,Stage 1,,G24,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Boostio,Stage 1,,G25,4,1,3,1.33,,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Boostio,Stage 1,,G26,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Boostio,Stage 1,,G27,9,4,5,4.5,,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,W,,
100 Thieves,Boostio,Stage 1,,G28,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
